"Dato (Date)","Dokumenttitel (Title of the document)"
1907-05-31,"Vedtægt for Færøernes Seminarium"
1907-07-15,"Bekendtgørelse angaaende Pigeskoleeksamen m. m."
1907-11-22,"Lov om Børns Undervisning"
1908-02-28,"Anordning angaaende Tillægsprøver til Studentereksamen"
1908-03-02,"Bekendtgørelse angaaende kommuale og private Skolers Adgang til at afholde de højere Almenskolers forskellige Eksaminer"
1908-03-06,"Bekendtgørelse angaaende Optagelse i Gymnasiets 1ste Klasse af Elever, der have bestaaet Fjerde Klasses Hovedeksamen"
1908-03-11,"Bekendtgørelse angaaende foreløbigt Reglement for den lærde Afdeling i den højere Almenskole i Reykjavik"
1908-04-30,"Anordning angaaende Realeksamen for Privatister"
1908-05-01,"Bekendtgørelse angaaende Realeksamen for Privatister"
1908-05-08,"Lov om Lønninger for Rektorerne og Lærerne ved Statens højere Almenskoler samt ved Sorø Skole og Opdragelsesanstalt"
1908-05-27,"Bekendtgørelse angaaende Ændringer i Henhold til Lov af 27de Maj d. A. § 4 i Beregning af Tjenestealderen for de ved Lovens Ikrafttræden ansatte Lærere og Lærerinder i Folkeskolen"
1908-05-27,"Lov om en forhøjet Ligning til nogle af Amternes Skolefonds"
1908-05-27,"Lov om Lønning for Lærere og Lærerinder i Folkeskolen m. m."
1908-06-27,"Bekendtgørelse angaaende Skolepengene m. m. i Statens højere Almenskoler og Sorø Skole og Opdragelsesanstalt"
1908-06-28,"Bekendtgørelse angaaende Tillægsprøver til Realeksamen og Pigeskoleeksamen"
1908-08-17,"Bekendtgørelse angaaende Beregningen af Tjenestealderen for Lærere og Lærerinder i Folkeskolen"
1908-12-08,"Bekendtgørelse angaaende Tillægsprøver til den afsluttende Lærer- eller Lærerindeprøve ved Seminarierne"
1909-02-01,"Regler for Afholdelse af Optagelsesprøven paa Forskoleseminarierne"
1909-02-09,"Anordning angaaende en Begrænsning af Anordning af 7de februar 1907 om Latinprøven ved Optagelse i Gymnasiets klassisk-sproglige og nysproglige Linies 1ste Klasse"
1909-04-30,"Bekendtgørelse angaaende Optagelsen af anerkendte Kursus i Pensionskassen for de private fuldstændige højere Almenskoler"
1909-05-04,"Bekendtgørelse angaaende de offentlige Understøttelser ved Statens højere Almenskoler og Sorø Skole og Opdragelsesanstalt"
1909-07-09,"Lov om en Understøttelseskasse for Børnelærere"
1909-07-09,"Lov om Realskolen i Akureyri"
1909-07-16,"Bekendtgørelse angaaende privat forberedte Elevers Optagelse i eksamensberettigede Mellemskoler"
1909-12-31,"Anordning angaaende Studentereksamen for Privatister"
1910-01-05,"Bekendtgørelse angaaende Studentereksamen for Privatister"
1910-05-20,"Bekendtgørelse af Reglement angaaende Fordringerne ved og Eksamensopgivelserne til Studentereksamen ved den højere Almenskole i Reykjavik"
1910-06-21,"Bekendtgørelse om Tillæg i Sprog ved den afsluttende Prøve for Lærere og Lærerinder i Folkeskolen"
1910-06-29,"Anordning om Ændringer i kongelig Anordning af 1ste Marts 1895 angaaende almindelig Forberedelseseksamen"
1910-12-15,"Bekendtgørelse angaaende Skolebørns Fribefordring paa Statsbanerne"
1911-01-05,"Bekendtgørelse angaaende Renholdelse af Skoler paa Landet"
1911-04-22,"Anordning angaaende Studentereksamen for de Privatister, der har bestaaet den afsluttende Lærer- eller Lærerindeprøve ved et Seminarium"
1911-12-13,"Anordning angaaende Ændring i Anordning af 28de Februar 1908 om Tillægsprøver til Studentereksamen"
1912-01-09,"Bekendtgørelse angaaende Tilladelse til ved Religionsundervisningen i Skolerne at benytte andre Lærebøger end de nu autoriserede"
1912-01-16,"Anordning angaaende forskellige Forhold vedrørende Folkeskolen i Bygderne paa Færøerne"
1912-04-01,"Bekendtgørelse om Erlæggelse af Indmeldelsesgebyrer ved den højere Almanskoles forskleelige Eksiaminer samt ved almindelig Forberedekseseksamen"
1912-05-10,"Lov om en forhøjet Ligning til nogle af Amternes Skolefonds"
1912-05-17,"Bekendtgørelse om ændret Affattelse af § 2 Litra a og § 3 af Bekendtgørelse fra Ministeriet for Kirke- og Undervisningsvæsenet af 26de Marts 1901 indeholdende nærmere Bestemmelser til Gennemførelse af kongelig Anordning af 16de Marts 1901 om en fo"
1912-05-18,"Bekendtgørelse angaaende Skolebørns Fribefordring paa Statsbanerne"
1912-07-02,"Anordning om Indretning af Skoleembedseksamen i Fysik og Kemi med tilhørende Bifag under det matematisk-naturvidenskabelige Fakultet"
1912-07-03,"Bekendtgørelse indeholdende nærmere Bestemmelser til Gennmførelse af den Kgl. Anordning af 2den Juli 1912 om Indretning af Skoleembedseksamen i Fysik og Kemi med tilhørende Bifag under det matematisk-naturvidenskabelige Fakultet"
1912-11-29,"Anordning om Optagelse af kristendomskundskab som Fag ved Skoleembedseksamen under det filosofiske Fakultet"
1912-11-30,"Bekendtgørelse angaaende Ordningen af den ved kongelig Anordning ad 29de November 1912 indførte Eksamen i Kristendomskundskab som Fag ved Skoleembedseksamen under det filosofiske Fakultet"
1913-01-11,"Anordning om Tillægsprøve i Engelsk eller Tysk for Studenter af klassisk-sproglige eller matematisk-naturvidenskabelige Retning"
1913-02-12,"Bekendtgørelse om ændret Affattelse af § 2 Litra b i Bekendtgørelse fra Ministeriet for Kirke- og Undervisningsvæsenet af 26de Marts 1901 indeholdende nærmere Bestemmelser til Gennemførelse af kongelig Anordning af 16de Marts 1901 om en forandret I"
1913-04-15,"Anordning om Prøve i Sprog for Privatister, der indstiller sig til ordinær Studentereksamen af klassisk-sproglig eller matematisk-naturvidenskabelig Retning"
1913-04-29,"Anordning om Højere Skoler i Dansk Vestindien"
1913-05-07,"Bekendtgørelse angaaende Afholdelse af Optagelsesprøven til Seminariernes 1ste Klasse"
1913-05-26,"Bekendtgørelse angaaende Skolebørns Fribefordring paa Statsbanerne"
1913-06-30,"Bekendtgørelse om Optagelsesprøven til Seminariernes yngste Klasse"
1913-07-03,"Bekendtgørelse om Bestemmelser angaaende Eksamens Afholdelse m. m. ved højere Skoler i Dansk Vestindien"
1913-07-03,"Bekendtgørelse om Bestemmelser angaaende Eksamens Afholdelse m. m. ved højere Skoler i Dansk Vestindien"
1913-10-25,"Anordning om Optagelse af Gymnastik som Bifag ved Skoleembedseksamenerne under det filosofiske og det matematisk-naturvidenskabelige Fakultet"
1913-10-25,"Bekendtgørelse angaaende Ordningen af den ved kgl. Anordning af 25de Oktober 1913 indførte Eksamen i Gymnastik som Bifag ved Skoleembedseksaminerne under det filosofiske og det matematisk-naturvidenskabelige Fakultet"
1914-01-29,"Bekendtgørelse angaaende Skolernes Adgang til Erhvervelse af et Skrift om ""Vilde Planter i Mark og Have"""
1914-04-04,"Bekendtgørelse angaaende Afholdelse af Optagelsesprøven til Seminariernes 1ste Klasse"
1914-04-18,"Bekendtgørelse om Ændringer i Fordringerne ved de afsluttende Prøver ved Seminarierne"
1914-04-18,"Bekendtgørelse om Ændringer i Fordringerne ved de afsluttende Prøver ved Seminarierne"
1914-04-21,"Lov om en forhøjet Ligning til nogle af Amternes Skolefonds"
1914-11-20,"Bekendtgørelse om Lærernes Forpligtelse til at udrede Porto for Fremsendelse af Ansøgninger om Embeder i Folkeskolen"
1915-03-31,"Lov om forhøjet Ligning til nogle af Amternes Skolefond"
1915-05-07,"Anordning om Adgang for dem, der har bestaaet Magisterkonferens ved det filisofiske Fakultet, til at underkaste sig Prøver i de til Skoleembedseksamen under samme Fakultet hørende Fag"
1915-06-02,"Anordning om Ændring i Anordning af 1ste Marts 1895 angaaende den almindelige Forberedelseseksamen"
1915-06-05,"Danmarks Riges Grundlov af 5. Juni 1915, § 83"
1915-06-12,"Bekendtgørelse angaaende private Skolers Adgang til at afholde Studentereksamen"
1915-07-21,"Kongelig Anordning angaaende Undervisningsplan for Seminariet i Grønland"
1915-08-04,"Anordning om Ændring i Anordning af 10de Juli 1909 angaaende Fordringerne ved og Eksamensopgivelserne til Studenterseksamen m.m."
1916-01-25,"Bekendtgørelse angaaende Studentereksamen for Privatister"
1916-02-04,"Anordning angaaende Studentereksamen for Privatister"
1916-03-31,"Lov om Adgang for Lærerinder til overordnede Stillinger i den offentlige Folkeskole og til Enelærerembeder paa Landet"
1916-05-17,"Bekendtgørelse angaaende Ordningen af den ved kgl. Anordning  af 25de Oktober 1913 indførte Eksamen i Gymnastik som Bifag ved Skoleembedeksaminerne under det filosofiske og det metematisk-naturvidenskabelige Fakultet"
1916-05-17,"Lov om Ændring i Bestemmelserne i Lov af 2den Maj 1855 om Børns Udskrivning af den offentlige Skole til privat Undervisning m.m."
1916-05-23,"Bekendtgørelse angaaende Prøverne ved Studentereksamen"
1916-05-25,"Bekendtgørelse angaaende Boldspil i Statsskolerne og de private højere Almenskoler"
1916-05-26,"Bekendtgørelse angaaende Overførelse af Karakterer fra Studentereksamen til den afsluttende Prøve for Lærere og Lærerinder i Folkeskolen"
1916-08-18,"Bekendtgørelse angaaende Nydelsen af oplagt Understøttelser fra Statens højere Almenskoler og fra Sorø Skole og Opdragelsesanstalt"
1916-08-25,"Anordning angaaende Almindelig Forberedelseseksamen for dem, der har bestaaet 1ste Del af Lærer- (Lærerinde-) eksamen ved et af Seminarierne"
1916-11-08,"Bekendtgørelse angaaende Indmeldelse af Elever til Borgerskoleeksamen"
1916-11-24,"Anordning om en Prøve i Pædagogik og Undervisningsfærdighed for Lærere og Lærerinder ved Statens højere Almanskoler"
1916-12-13,"Bekendtgørelse indeholdende nærmere Bestemmelser til Gennemførelse af den kongelige Anordning af 11te Dcember 1916 om en Omordning af Skoleembedseksamen i Naturhistorie og Geografi under det matematisk-naturvidenskabelige Fakultet"
1916-12-20,"Bekendtgørelse angaaende Optagelse af nye Elever i Skolernes 2den eller 3die Gymnasieklasse eller i Skoleaarets Løb i Realklassen"
1917-01-30,"Lov om et Fjerdingaars Efterindtægt for efterladte efter Lærere og Lærerinder i den offentlige Folkeskole"
1917-04-11,"Bekendtgørelse angaaende Afholdelse af Optagelsesprøven til Seminariernes 1ste Klasse"
1917-05-14,"Bekendtgørelse angaaende Ændring af Ministeriet for Kirke- og Undervisningsvæsenets Bekendtgørelse af 26de Marts 1901 indeholdende nærmere Bestemmelser til Gennmførelse af kgl. Anordning af 16de Marts 1901 om en forandret Indretning af Skoleembedsek"
1917-05-21,"Bekendtgørelse indeholdende nærmere Bestemmelser til Gennemførelse af den kongelige Anordning af 18de Maj 1917 om en forandret Indretning af Skoleembedseksamen i Matematik, Astronomi med praktisk Matematik, Fysik og Kemi under det matematisk-naturviden"
1917-05-22,"Bekendtgørelse om Tidspunktet for Afholdelsen af Studentereksamen"
1917-06-16,"Bekendtgørelse angaaende Løntilskud til Lærere ved private eksamensberettigede Skoler i København, Frederiksberg og Gentofte"
1917-08-25,"Bekendtgørelse angaaende Ændring af Bekendtgørelse af 17de Maj 1916 angaaende ordningen af den kgl. Anordning af 25de Oktober 1913 indførte Eksamen i Gymnastik som Bifag ved Skoleembedseksaminerne under det filosofiske og det matematisk-naturvidenskab"
1917-09-17,"Bekendtgørelse angaaende Understøttelse for Lærere og Lærerinder i Folkeskolen til Studiebesøg ved andre Skoler"
1917-12-31,"Anordning om Forældremøder og Skolenævn ved Statens højere Almenskoler"
1918-01-18,"Anordning om Ændring af Anordning af 25de Oktober 1913 om Optagelse af Gymnastik som Bifag ved Skoleembedselsaminerne under det filosofiske og det matematisk-naturvidenskabelige Fakultet"
1918-02-04,"Anordning om Ændring i Anordning af 24de Januar 1916 angaaende Studertereksamen for Privatister § 7, 4de Afdeling"
1918-03-12,"Lov om Oprettelse af et Statsseminarium for Kvinder m.m."
1918-03-18,"Bekendtgørelse angaaende Afholdelse af Optagelsesprøven til Seminariernes 1ste Klasse"
1918-03-20,"Lov angaaende Ordningen af den højere Undervisning i Københavns, Frederiksberg og Gentofte Kommuner"
1918-03-20,"Lov om Statens Overtagelse af ""Dansk Sløjdlærerskole"" m.m."
1918-08-30,"Bekendtgørelse om Ændringer i Fordringer ved Optagelsesprøven til Seminariernes yngste Klasse samt om Ændringer i Bestemmelserne om Karaktergivningen ved denne Prøve"
1918-08-30,"Bekendtgørelse om Ændringer i Fordringerne ved de afsluttende Prøver ved Seminarierne samt om Ændringer med Hensyn til Karakterberegningen ved denne Prøve"
1918-11-22,"Anordning om Ændringer i kgl. Anordning af 1ste Marst 1895 angaaende den almindelig Forberedelseseksamen"
1919-01-14,"Bekendtgørelse angaaende særskilte Prøver ved den afsluttende Prøve for Lærere og Lærerinder i Folkeskolen i Sommeren 1919"
1919-01-15,"Bekendtgørelse om Ændring i Bekendtgørelse af 21de Juni 1910 omTillægsprøver i Sprog ved den afsluttende Prøve for Lærere og Lærerinder i Folkeskolen"
1919-01-17,"Bekendtgørelse angaaende Understøttelse for Lærere og Lærerinder i Folkeskolen til Studiebesøg ved andre Skoler."
1919-02-21,"Lov om Nedsættelse af en Skolekommission"
1919-04-20,"Anordning om Ændring i kgl. Anordning af 24de November 1916 om Prøve i Pædagogik og Undervisningsfærdighed for Lærere og Lærerinder ved Statens højere Almenskoler."
1919-04-22,"Bekendtgørelse angaaende Afholdelse af Optagelsesprøven til Seminariernes 1ste Klasse"
1919-05-31,"Bekendtgørelse om en Tilføjelse til de i Ministeriet for Kirke- og Undervisningsvæsenets Bekendtgørelse af 24de Januar 1902 indeholdte Bestemmelser med Hensyn bl. a. til Tidspunktet, fra hvilket Ansættelsen i Folkeskolens Lærerembeder bør beregnes."
1919-06-23,"Anordning om Karaktergivning ved de højere Almenskoler og Censuren ved disse Skolers afsluttende Eksaminer"
1919-10-04,"Lov om Lønninger m.m. for Folkeskolens Lærere."
1919-10-04,"Lov om Overtagelse af og Tilskud til private Gymnasieskoler"
1919-10-04,"Midlertidig Lov om Lønningsbestemmelser for Lærere og Lærereinder i Folkeskolen paa Færøerne."
1919-12-22,"Anordning om Karaktergivningen ved Mellemskoleeksamen, realeksamen og Studentereksamen for Privatister"
1920-01-06,"Anordning om Ændring af Anordning af 10de Juli 1909 angaaende Fordringerne ved og Eksamensopgivelserne til Studentereksamen m.m."
1920-03-03,"Bekendtgørelse om Ændring i Fordringerne ved Optagelsesprøven til Seminariernes yngste Klasse samt om Ændringer i Bestemmelserne om Karaktergivningen ved denne Prøve"
1920-03-22,"Bekendtgørelse angaaende Afholdelse af Optagelsesprøven til Seminariernes 1ste Klasse"
1920-04-24,"Anordning om Optagelsesprøve til 1ste Mellemskoleklasse i Statens og de kommunale Skoler i København, Frederiksberg og Gentofte Kommuner"
1920-05-03,"Bekendtgørelse om Eksamensordningen ved de højere Almenskolers offentlig kontrollerede Eksaminer."
1920-05-18,"Bekendtgørelse angaaende Franskprøven ved Mellemskoleeksamen og Latinprøven ved Mellemskoleeksamen og Realeksamen"
1920-05-23,"Kgl. Anordning angaaende Ændring i kgl. Anorning af 10de Juli 1909 angaaende Fordringerne ved Eksamensopgivelserne til Studentereksamen m.m."
1920-05-27,"Bekendtgørelse angaaende Overførelse af Karakter fra Studentereksamen til den afsluttende Prøve for Lærere og Lærerinder i Folkeskolen"
1920-06-24,"Anordning om Tillægseksamen for eksaminerede Lærere og Lærerinder, som vil tage Studentereksamen"
1920-07-20,"Bekendtgørelse om Ferie- og Fridage ved Statens højere Almenskoler og Sorø Akademis Skole"
1920-09-27,"Anordning om Opflytning af Elever med Realeksamen i 1. Gymnasieklasse"
1921-01-12,"Kongelig Anordning om Ændring i kgl. Anordning af 24. Januar 1916 angaaende Studentereksamen for Privatister"
1921-05-12,"Bekendtgøresle angaaende Ekstraordinært Løntillæg til Lærere og Lærerinder i Folkeskolen i de sønderjydske Landsdele for Finansaaret 1920-1921"
1921-05-20,"Bekendtgørelse angaaende et særligt midlertidigt Stedtillæg for Finansaaret 1921-1922 til Lærere og Lærerinder i Folkeskolen i de sønderjydske Landsdele"
1921-06-21,"Bekendtgørelse om Ændringer i de ved Kgl. Resolution af 3. Februar 1910 fastsatte Bestemmelser for Færøernes Mellem- og Realskole."
1921-07-21,"Bekendtgørelse om Ændringer i Bekendtgørelse Nr. 180 af 9. Juli 1912 angaaende Undervisningen paa etaarige faglige Kursus ved Handelsdagskoler og Afgangsprøve fra disse Kursus"
1921-12-21,"Lov om Tillæg til Lov Nr. 61 af 29. Marts 1904 om forskellige Forhold vedrørende Folkeskolen"
1922-01-14,"Anordning om Ænrding af Anordning af 1. december 1906 angaaende Undervisningen i Gymnasiet og anordning af 10. Juli 1909 angaaende Fordringerne ved og Eksamensopgivelserne til Studerntereksamen m.m."
1922-02-01,"Anordning om Ændring i Anordning af 22. December 1919 angaaende Karaktergivningen ved Mellemskoleeksamen, realeksamen og Studentereksamen for Privatister"
1922-03-04,"Anordning om Aarsprøver ved Statens Gymnasieskoler og Sorø Akademis Skole"
1922-04-05,"Bekendtgørelse angaaende forskellige Forhold vedrørende Aarsprøver og Eksaminer ved Statens Gymnasieskoler og Sorø Akademis Skole"
1922-04-18,"Bekendtgørelse angaaende et særligt midlertidigt Stedtillæg for Finansaaret 1922-23 til Lærere og Lærerinder i Folkeskolen i de sønderjydske Landsdele"
1922-05-18,"Bekendtgøresle om Fordringerne i Bifagene til Skoleembedseksamen under det filosofiske Fakultet"
1922-06-12,"Lov om Lønningsbestemmelser m.m. for Lærere og Lærerinder i Folkeskolen paa Færøerne"
1922-06-12,"Lov om Pensionering af Lærere og Lærerinder ved Færøernes Mellem- og Realskole"
